Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Deak, Gedeon O.                    ","
COGS 1 - Introduction to Cognitive Sci  (A)
",SP10,208,"
106
","
85.6%
","
84.2%
","
3.64
","
B+ (3.39)
","
B- (2.95)
"
"Belew, Richard K                   ","
COGS 1 - Introduction to Cognitive Sci  (A)
",WI10,187,"
143
","
84.6%
","
79.6%
","
3.33
","
B+ (3.62)
","
B (3.11)
"
"Nitz, Douglas A.                   ","
COGS 1 - Introduction to Cognitive Sci  (A)
",FA09,215,"
82
","
95.1%
","
87.8%
","
3.02
","
A- (3.82)
","
B+ (3.61)
"
"Deak, Gedeon O.                    ","
COGS 1 - Introduction to Cognitive Sci  (A)
",SP09,189,"
93
","
64.5%
","
78.5%
","
3.19
","
B (3.14)
","
B- (2.95)
"
"Yu, Angela J.                      ","
COGS 1 - Introduction to Cognitive Sci  (A)
",WI09,202,"
124
","
78.2%
","
81.9%
","
3.02
","
B (3.25)
","
N/A
"
"Creel, Sarah                       ","
COGS 1 - Introduction to Cognitive Sci  (A)
",FA08,234,"
149
","
89.7%
","
87.0%
","
2.51
","
B (3.27)
","
B- (2.86)
"
"Sweeney, Kim                  ","
COGS 1 - Introduction to Cognitive Sci  (A)
",SP08,166,"
66
","
87.3%
","
78.7%
","
3.44
","
B+ (3.40)
","
B- (2.81)
"
"Paparello, Silvia             ","
COGS 1 - Introduction to Cognitive Sci  (A)
",WI08,166,"
75
","
62.7%
","
57.5%
","
3.33
","
B (3.21)
","
B (3.12)
"
"Nunez, Rafael E               ","
COGS 1 - Introduction to Cognitive Sci  (A)
",FA07,237,"
110
","
90.9%
","
98.2%
","
3.30
","
B+ (3.34)
","
C+ (2.52)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hollan, James D.","
COGS 10 - Cognitv Consequence/Technology (A)
",FA22,288,"
110
","
61.0%
","
67.0%
","
3.88
","
B+ (3.58)
","
B+ (3.34)
"
"Klemmer, Scott R","
COGS 10 - Cognitv Consequence/Technology (A)
",SP22,280,"
99
","
53.3%
","
17.6%
","
2.28
","
A- (3.79)
","
B+ (3.38)
"
"Scott, Taylor Jackson","
COGS 10 - Cognitv Consequence/Technology (A)
",WI22,300,"
232
","
97.8%
","
99.6%
","
3.62
","
A- (3.87)
","
A- (3.90)
"
"Hollan, James D.","
COGS 10 - Cognitv Consequence/Technology (A)
",SP21,288,"
100
","
85.3%
","
89.5%
","
3.65
","
B+ (3.65)
","
A- (3.79)
"
"Scott, Taylor Jackson","
COGS 10 - Cognitv Consequence/Technology (A)
",FA20,296,"
244
","
96.3%
","
99.2%
","
3.68
","
A- (3.85)
","
A- (3.82)
"
"Xia, Haijun","
COGS 10 - Cognitv Consequence/Technology (B)
",FA20,200,"
171
","
94.2%
","
98.2%
","
3.96
","
A- (3.75)
","
A- (3.78)
"
"Hollan, James D.","
COGS 10 - Cognitv Consequence/Technology (A)
",SP20,260,"
96
","
89.2%
","
93.4%
","
3.53
","
B+ (3.62)
","
B+ (3.59)
"
"Scott, Taylor Jackson","
COGS 10 - Cognitv Consequence/Technology (A)
",FA19,295,"
257
","
95.3%
","
98.8%
","
3.80
","
A- (3.76)
","
A- (3.80)
"
"Hollan, James D.","
COGS 10 - Cognitv Consequence/Technology (A)
",SP19,282,"
171
","
66.7%
","
70.3%
","
3.38
","
B (3.28)
","
B+ (3.55)
"
"Scott, Taylor Jackson","
COGS 10 - Cognitv Consequence/Technology (A)
",FA18,260,"
227
","
94.7%
","
97.8%
","
3.82
","
A- (3.75)
","
B+ (3.69)
"
"Scott, Taylor Jackson","
COGS 10 - Cognitv Consequence/Technology (A)
",S218,47,"
43
","
95.2%
","
97.6%
","
4.88
","
A- (3.80)
","
B+ (3.64)
"
"Hollan, James D.","
COGS 10 - Cognitv Consequence/Technology (A)
",SP18,184,"
69
","
66.2%
","
79.7%
","
3.69
","
B+ (3.36)
","
B+ (3.49)
"
"Hollan, James D.","
COGS 10 - Cognitv Consequence/Technology (A)
",SP17,180,"
87
","
51.9%
","
58.2%
","
3.23
","
B+ (3.46)
","
B (3.24)
"
"Hollan, James D.","
COGS 10 - Cognitv Consequence/Technology (A)
",WI15,23,"
12
","
66.7%
","
66.7%
","
3.67
","
B (3.22)
","
B (3.07)
"
"Hollan, James D.","
COGS 10 - Cognitv Consequence/Technology (A)
",WI14,26,"
10
","
80.0%
","
90.0%
","
4.90
","
B+ (3.43)
","
B (3.15)
"
"Hollan, James D.","
COGS 10 - Cognitv Consequence/Technology (A)
",FA13,17,"
7
","
83.3%
","
83.3%
","
5.17
","
A- (3.75)
","
N/A
"
"Cangiano, Gaston R                 ","
COGS 10 - Cognitv Consequence/Technology (A)
",FA10,43,"
27
","
85.2%
","
70.4%
","
3.76
","
B+ (3.50)
","
B (3.06)
"
"Hutchins, Edwin Lee                ","
COGS 10 - Cognitv Consequence/Technology (A)
",SP09,40,"
26
","
88.5%
","
92.3%
","
2.81
","
B+ (3.40)
","
B (3.19)
"
"Becvar, Laura A.              ","
COGS 10 - Cognitv Consequence/Technology (A)
",WI08,41,"
28
","
78.6%
","
75.0%
","
2.93
","
B+ (3.46)
","
B+ (3.40)
"
"Becvar, Laura A.              ","
COGS 10 - Cognitv Consequence/Technology (A)
",SU07,12,"
6
","
100.0%
","
100.0%
","
5.70
","
B+ (3.50)
","
N/A
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Simpkins, Charles Alexander","
COGS 100 - Cyborgs Now and in the Future (A)
",SP23,340,"
96
","
85.9%
","
87.0%
","
2.52
","
A- (3.87)
","
A- (3.96)
"
"Simpkins, Charles Alexander","
COGS 100 - Cyborgs Now and in the Future (A)
",WI23,326,"
168
","
58.3%
","
53.7%
","
3.51
","
A- (3.72)
","
A- (3.98)
"
"Kirsh, David Joel","
COGS 100 - Cyborgs Now and in the Future (A)
",FA22,299,"
89
","
55.1%
","
65.2%
","
4.46
","
B+ (3.63)
","
B (3.26)
"
"Allen, Michael Gordon","
COGS 100 - Cyborgs Now and in the Future (A)
",S222,75,"
17
","
78.6%
","
78.6%
","
7.43
","
B+ (3.50)
","
B+ (3.51)
"
"Allen, Michael Gordon","
COGS 100 - Cyborgs Now and in the Future (A)
",S122,53,"
6
","
33.3%
","
66.7%
","
9.70
","
B (3.20)
","
B+ (3.42)
"
"Scott, Taylor Jackson","
COGS 100 - Cyborgs Now and in the Future (A)
",SP22,305,"
225
","
94.6%
","
99.6%
","
4.07
","
A- (3.80)
","
A- (3.81)
"
"Scott, Taylor Jackson","
COGS 100 - Cyborgs Now and in the Future (A)
",WI22,239,"
181
","
89.5%
","
99.4%
","
4.23
","
A- (3.81)
","
A- (3.87)
"
"Kirsh, David Joel","
COGS 100 - Cyborgs Now and in the Future (A)
",FA21,325,"
214
","
62.4%
","
61.5%
","
6.13
","
B+ (3.53)
","
B+ (3.56)
"
"Miller, Carson Grant","
COGS 100 - Cyborgs Now and in the Future (A)
",S221,63,"
14
","
100.0%
","
78.6%
","
6.96
","
B+ (3.54)
","
B+ (3.53)
"
"Allen, Michael Gordon","
COGS 100 - Cyborgs Now and in the Future (A)
",S121,77,"
46
","
65.9%
","
77.3%
","
6.36
","
B+ (3.45)
","
B (3.27)
"
"Kirsh, David Joel","
COGS 100 - Cyborgs Now and in the Future (A)
",FA20,318,"
267
","
75.3%
","
85.8%
","
5.86
","
B+ (3.61)
","
B+ (3.42)
"
"Allen, Michael Gordon","
COGS 100 - Cyborgs Now and in the Future (A)
",S220,47,"
41
","
82.9%
","
92.7%
","
6.50
","
B (3.29)
","
B+ (3.58)
"
"Allen, Michael Gordon","
COGS 100 - Cyborgs Now and in the Future (A)
",S120,106,"
100
","
65.0%
","
72.0%
","
7.44
","
B+ (3.36)
","
A- (3.77)
"
"Scott, Taylor Jackson","
COGS 100 - Cyborgs Now and in the Future (A)
",WI20,205,"
166
","
81.8%
","
97.6%
","
4.39
","
B+ (3.57)
","
A- (3.83)
"
"Kirsh, David Joel","
COGS 100 - Cyborgs Now and in the Future (A)
",FA19,229,"
161
","
68.8%
","
72.6%
","
4.91
","
B+ (3.31)
","
B+ (3.33)
"
"Allen, Michael Gordon","
COGS 100 - Cyborgs Now and in the Future (A)
",S119,57,"
54
","
83.3%
","
88.9%
","
6.69
","
B (3.25)
","
B+ (3.49)
"
"Scott, Taylor Jackson","
COGS 100 - Cyborgs Now and in the Future (A)
",SP19,201,"
176
","
78.9%
","
92.6%
","
4.28
","
B (3.29)
","
B+ (3.41)
"
"Leonardis, Eric Jeffrey","
COGS 100 - Cyborgs Now and in the Future (A)
",WI19,185,"
119
","
77.3%
","
75.6%
","
4.81
","
B (3.23)
","
A- (3.76)
"
"Kirsh, David Joel","
COGS 100 - Cyborgs Now and in the Future (A)
",FA18,139,"
126
","
79.4%
","
85.7%
","
4.71
","
B (3.23)
","
B- (3.00)
"
"Scott, Taylor Jackson","
COGS 100 - Cyborgs Now and in the Future (A)
",SP18,183,"
166
","
72.7%
","
90.2%
","
4.55
","
B (3.25)
","
B (3.22)
"
"Kirsh, David Joel","
COGS 100 - Cyborgs Now and in the Future (A)
",FA17,243,"
88
","
54.1%
","
72.3%
","
4.38
","
B+ (3.54)
","
B (3.20)
"
"Kirsh, David Joel","
COGS 100 - Cyborgs Now and in the Future (A)
",WI17,97,"
47
","
46.5%
","
55.8%
","
4.55
","
B (3.28)
","
B (3.23)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Morgan, Eric","
COGS 101A - Sensation and Perception (A)
",SP23,128,"
74
","
94.4%
","
88.7%
","
4.03
","
A- (3.70)
","
B (3.13)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",WI23,378,"
139
","
98.5%
","
100.0%
","
4.18
","
A- (3.73)
","
B+ (3.54)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",FA22,341,"
167
","
95.8%
","
95.2%
","
4.35
","
B+ (3.48)
","
B+ (3.42)
"
"Davis, Joshua Daniel","
COGS 101A - Sensation and Perception (A)
",S122,59,"
11
","
100.0%
","
100.0%
","
4.50
","
A- (3.91)
","
A- (3.74)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",SP22,263,"
104
","
97.1%
","
100.0%
","
3.76
","
A- (3.76)
","
B+ (3.64)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",SP21,357,"
142
","
95.0%
","
98.6%
","
4.05
","
B+ (3.67)
","
B+ (3.63)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",FA20,284,"
152
","
95.9%
","
97.3%
","
4.73
","
B+ (3.64)
","
B+ (3.47)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",SP20,384,"
176
","
98.8%
","
99.4%
","
4.34
","
A- (3.71)
","
A- (3.79)
"
"Davis, Joshua Daniel","
COGS 101A - Sensation and Perception (A)
",WI20,229,"
94
","
93.4%
","
94.4%
","
5.10
","
B+ (3.42)
","
B+ (3.59)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",FA19,272,"
208
","
94.1%
","
96.1%
","
4.15
","
B+ (3.51)
","
B+ (3.33)
"
"Bristol, Rachel Elizabeth","
COGS 101A - Sensation and Perception (A)
",S119,61,"
58
","
96.6%
","
98.3%
","
6.46
","
B+ (3.47)
","
B+ (3.39)
"
"Bristol, Rachel Elizabeth","
COGS 101A - Sensation and Perception (A)
",SP19,225,"
179
","
93.2%
","
93.8%
","
4.41
","
B (3.23)
","
B- (2.93)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",WI19,420,"
243
","
95.3%
","
90.5%
","
4.47
","
B+ (3.36)
","
B (3.05)
"
"Davis, Joshua Daniel","
COGS 101A - Sensation and Perception (A)
",S118,64,"
44
","
93.2%
","
95.3%
","
5.82
","
B+ (3.56)
","
B+ (3.33)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",SP18,399,"
314
","
94.8%
","
94.4%
","
4.19
","
B+ (3.39)
","
B (3.01)
"
"Hoffman, Drew Ellen","
COGS 101A - Sensation and Perception (A)
",FA17,468,"
158
","
94.5%
","
85.3%
","
4.40
","
B+ (3.43)
","
B (3.07)
"
"Walker, Esther Jane","
COGS 101A - Sensation and Perception (A)
",WI17,90,"
39
","
97.3%
","
100.0%
","
5.47
","
B+ (3.67)
","
B (3.24)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",FA16,410,"
234
","
97.4%
","
99.6%
","
5.40
","
B+ (3.38)
","
B (3.04)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",FA15,304,"
174
","
97.0%
","
99.4%
","
4.64
","
B+ (3.52)
","
B (3.22)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",FA14,254,"
119
","
94.2%
","
99.0%
","
5.03
","
B+ (3.54)
","
B (3.16)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",FA13,214,"
95
","
96.8%
","
97.8%
","
4.63
","
B+ (3.47)
","
B (3.05)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",S213,28,"
15
","
93.3%
","
100.0%
","
6.23
","
B+ (3.53)
","
B+ (3.39)
"
"Barrera, Steven James","
COGS 101A - Sensation and Perception (A)
",FA12,296,"
146
","
97.7%
","
97.7%
","
5.01
","
B+ (3.50)
","
B (3.15)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Barrera, Steven James","
COGS 101B - Learning, Memory and Attention (A)
",SP23,290,"
96
","
98.9%
","
98.9%
","
4.01
","
A- (3.72)
","
B+ (3.56)
"
"Hoffman, Drew Ellen","
COGS 101B - Learning, Memory and Attention (A)
",WI23,293,"
172
","
97.7%
","
97.1%
","
4.00
","
B+ (3.68)
","
B+ (3.45)
"
"Barrera, Steven James","
COGS 101B - Learning, Memory and Attention (A)
",FA22,184,"
80
","
97.5%
","
100.0%
","
4.12
","
A- (3.79)
","
B+ (3.70)
"
"Allen, Michael Gordon","
COGS 101B - Learning, Memory and Attention (A)
",S122,51,"
8
","
100.0%
","
100.0%
","
5.36
","
A- (3.71)
","
B+ (3.64)
"
"Davis, Joshua Daniel","
COGS 101B - Learning, Memory and Attention (A)
",WI22,265,"
103
","
94.9%
","
95.9%
","
4.26
","
B+ (3.52)
","
B+ (3.40)
"
"Barrera, Steven James","
COGS 101B - Learning, Memory and Attention (A)
",FA21,270,"
109
","
97.2%
","
99.1%
","
4.44
","
B+ (3.69)
","
B+ (3.54)
"
"Allen, Michael Gordon","
COGS 101B - Learning, Memory and Attention (A)
",S221,70,"
54
","
92.6%
","
88.9%
","
5.83
","
B+ (3.46)
","
B+ (3.35)
"
"Davis, Joshua Daniel","
COGS 101B - Learning, Memory and Attention (A)
",S121,75,"
19
","
94.7%
","
94.7%
","
4.61
","
B+ (3.42)
","
B+ (3.36)
"
"Hoffman, Drew Ellen","
COGS 101B - Learning, Memory and Attention (A)
",WI21,368,"
179
","
97.7%
","
98.9%
","
3.84
","
A- (3.72)
","
B+ (3.67)
"
"Barrera, Steven James","
COGS 101B - Learning, Memory and Attention (A)
",FA20,255,"
143
","
98.6%
","
100.0%
","
4.70
","
B+ (3.61)
","
B+ (3.62)
"
"Allen, Michael Gordon","
COGS 101B - Learning, Memory and Attention (A)
",S220,80,"
23
","
100.0%
","
95.7%
","
5.46
","
B+ (3.67)
","
B+ (3.51)
"
"Hoffman, Drew Ellen","
COGS 101B - Learning, Memory and Attention (A)
",WI20,303,"
117
","
90.5%
","
93.9%
","
4.89
","
B+ (3.53)
","
A- (3.79)
"
"Barrera, Steven James","
COGS 101B - Learning, Memory and Attention (A)
",FA19,197,"
100
","
96.8%
","
98.9%
","
4.71
","
B+ (3.37)
","
B (3.01)
"
"Davis, Joshua Daniel","
COGS 101B - Learning, Memory and Attention (A)
",S219,94,"
65
","
96.9%
","
98.4%
","
5.25
","
B+ (3.53)
","
B (3.12)
"
"Hoffman, Drew Ellen","
COGS 101B - Learning, Memory and Attention (A)
",SP19,338,"
190
","
96.8%
","
97.8%
","
3.99
","
B+ (3.60)
","
B+ (3.32)
"
"Davis, Joshua Daniel","
COGS 101B - Learning, Memory and Attention (A)
",S218,114,"
63
","
96.8%
","
98.4%
","
4.98
","
B+ (3.50)
","
B+ (3.38)
"
"Hoffman, Drew Ellen","
COGS 101B - Learning, Memory and Attention (A)
",WI18,385,"
326
","
89.8%
","
87.6%
","
3.91
","
B+ (3.34)
","
B (3.01)
"
"Barrera, Steven James","
COGS 101B - Learning, Memory and Attention (A)
",WI17,368,"
197
","
95.7%
","
99.5%
","
5.09
","
B+ (3.52)
","
B (3.29)
"
"Walker, Esther Jane","
COGS 101B - Learning, Memory and Attention (A)
",S216,30,"
13
","
92.3%
","
92.3%
","
6.96
","
B+ (3.46)
","
B (3.19)
"
"Barrera, Steven James","
COGS 101B - Learning, Memory and Attention (A)
",WI16,309,"
180
","
97.1%
","
98.9%
","
4.35
","
B+ (3.54)
","
B (3.23)
"
"Walker, Esther J.","
COGS 101B - Learning, Memory and Attention (A)
",S115,14,"
8
","
100.0%
","
100.0%
","
4.50
","
A- (3.75)
","
N/A
"
"Barrera, Steven James","
COGS 101B - Learning, Memory and Attention (A)
",WI15,245,"
137
","
97.8%
","
98.5%
","
4.71
","
B+ (3.46)
","
B (3.20)
"
"Amsel, Ben David","
COGS 101B - Learning, Memory and Attention (A)
",S214,16,"
3
","
66.7%
","
100.0%
","
12.50
","
B+ (3.67)
","
N/A
"
"Creel, Sarah","
COGS 101B - Learning, Memory and Attention (A)
",SP14,219,"
84
","
85.7%
","
79.2%
","
3.79
","
B+ (3.39)
","
B (3.06)
"
"Creel, Sarah","
COGS 101B - Learning, Memory and Attention (A)
",WI13,318,"
118
","
80.0%
","
70.4%
","
4.64
","
B+ (3.35)
","
B (3.27)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Trott, Sean Thomas","
COGS 101C - Language (A)
",WI23,138,"
47
","
95.7%
","
100.0%
","
3.46
","
A- (3.89)
","
B+ (3.55)
"
"Cooperrider, Kensy A","
COGS 101C - Language (A)
",FA22,151,"
54
","
92.5%
","
96.2%
","
4.12
","
B+ (3.59)
","
B+ (3.31)
"
"Truman, Alyssa","
COGS 101C - Language (A)
",S222,24,"
18
","
100.0%
","
83.3%
","
6.61
","
B (3.29)
","
B (3.22)
"
"Delgado, Tania","
COGS 101C - Language (A)
",S122,18,"
14
","
100.0%
","
100.0%
","
4.64
","
A- (3.79)
","
N/A
"
"Trott, Sean Thomas","
COGS 101C - Language (A)
",SP22,200,"
70
","
97.1%
","
98.6%
","
3.28
","
A- (3.86)
","
B+ (3.65)
"
"Cooperrider, Kensy A","
COGS 101C - Language (A)
",WI22,150,"
59
","
96.6%
","
100.0%
","
4.74
","
B+ (3.66)
","
B (3.28)
"
"Bristol, Rachel Elizabeth","
COGS 101C - Language (A)
",S121,38,"
22
","
95.5%
","
100.0%
","
6.59
","
B+ (3.57)
","
B (3.19)
"
"Davis, Joshua Daniel","
COGS 101C - Language (A)
",SP21,229,"
76
","
90.5%
","
95.9%
","
4.01
","
B+ (3.48)
","
B (3.19)
"
"Bristol, Rachel Elizabeth","
COGS 101C - Language (A)
",S120,37,"
27
","
88.9%
","
88.9%
","
9.61
","
B+ (3.67)
","
B+ (3.45)
"
"Davis, Joshua Daniel","
COGS 101C - Language (A)
",SP20,193,"
70
","
94.2%
","
94.2%
","
5.18
","
B+ (3.63)
","
B+ (3.64)
"
"Cooperrider, Kensy A","
COGS 101C - Language (A)
",WI20,127,"
44
","
93.2%
","
93.2%
","
3.82
","
B+ (3.51)
","
B (3.26)
"
"Bristol, Rachel Elizabeth","
COGS 101C - Language (A)
",S219,31,"
28
","
81.5%
","
100.0%
","
7.39
","
B+ (3.40)
","
B (3.26)
"
"Cooperrider, Kensy A","
COGS 101C - Language (A)
",SP19,158,"
60
","
94.6%
","
100.0%
","
3.89
","
B+ (3.55)
","
B+ (3.38)
"
"Momma, Shota","
COGS 101C - Language (A)
",FA18,241,"
103
","
96.0%
","
98.0%
","
3.93
","
B+ (3.56)
","
B+ (3.58)
"
"Coulson, Seana M","
COGS 101C - Language (A)
",S118,37,"
12
","
80.0%
","
88.9%
","
4.67
","
B+ (3.50)
","
B+ (3.40)
"
"Coulson, Seana M","
COGS 101C - Language (A)
",SP18,221,"
90
","
81.4%
","
86.0%
","
5.18
","
B+ (3.30)
","
B (3.11)
"
"Troyer, Melissa","
COGS 101C - Language (A)
",S217,45,"
25
","
92.0%
","
100.0%
","
5.38
","
B+ (3.54)
","
B+ (3.52)
"
"Walker, Esther Jane","
COGS 101C - Language (A)
",SP17,310,"
108
","
87.9%
","
91.9%
","
4.38
","
B+ (3.57)
","
B+ (3.42)
"
"Bergen, Benjamin","
COGS 101C - Language (A)
",SP16,241,"
94
","
84.6%
","
85.7%
","
4.43
","
B (3.25)
","
B- (2.83)
"
